run,period,variant,weight_mean,weight_nonterminal_mean,weight_terminal_mean,future_mass_retention,terminal_mass_share,nonterminal_mass_retention,task_mean_abs,frozen_norm_noise_fraction,lone_nonterminal_rows,lone_nonterminal_future_negative_rows,lone_nonterminal_combined_negative_rows,history_sign_flip_fraction
M10,1-126,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3237,0,0,0.0
M10,1-126,fixed_025,0.25,0.25,0.25,0.25,0.1543781872476248,0.25,6.8511653713978245e-18,0.0625,3237,3237,0,0.01454745882783396
M10,1-126,fixed_1,1.0,1.0,1.0,1.0,0.1543781872476248,1.0,2.7404661485591298e-17,1.0,3237,3237,0,0.05958022045570368
M10,1-126,row_snr,0.25674489947745877,0.2408213651057155,0.5976632083627297,0.5886971710831277,0.23181270629589218,0.5357025272915754,0.057845205047851525,0.25665188807123984,3237,0,0,0.028296959092773015
M10,1-126,row_snr_centered,,,,0.6351012040177435,0.2085287497835836,0.5951953246767855,1.2252662192105914e-17,,3237,3237,0,0.03300052069713212
M10,1-126,matched_task_scale,0.4211910570937312,0.417284665141195,0.505357874887097,0.5886971710831277,0.15802501958443213,0.5859891483916508,1.9333487403808907e-17,0.3260564027285917,3237,3237,0,0.033822633561077425
M10,1-126,task_nonterminal_snr,0.4106071373105893,0.40614571981194353,0.5060756375934258,0.5770044614028106,0.1574670986304773,0.5745723061447675,2.0537744514697886e-17,0.3120625812200985,3237,3074,0,0.032673271002366604
M10,1-30,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590,0,0,0.0
M10,1-30,fixed_025,0.25,0.25,0.25,0.25,0.14853510962461378,0.25,1.6296814738776743e-18,0.0625,1590,1590,0,0.007042479688314618
M10,1-30,fixed_1,1.0,1.0,1.0,1.0,0.14853510962461378,1.0,6.518725895510697e-18,1.0,1590,1590,0,0.03433883646656533
M10,1-30,row_snr,0.07828220413169563,0.07510626772262372,0.21006663129095582,0.5185093523887222,0.2464402012209975,0.45981166560031,0.021083666234630594,0.2333570681635517,1590,0,0,0.01165638267437091
M10,1-30,row_snr_centered,,,,0.578992484511329,0.21992996492281394,0.5308344176450507,5.509242747918298e-18,,1590,1590,0,0.011125651444357437
M10,1-30,matched_task_scale,0.19341194369563083,0.19250930669123456,0.2303896813657898,0.5185093523887223,0.1494932552177057,0.5179189586275872,3.947416575025686e-18,0.25591984055883027,1590,1590,0,0.015048811940918224
M10,1-30,task_nonterminal_snr,0.1851636756022582,0.18423851537069025,0.22294528867463262,0.5041092248927298,0.14696417389460503,0.5048244707858625,3.8509510064183586e-18,0.24882232778894392,1590,1519,0,0.014109346609534806
M10,31-75,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405,0,0,0.0
M10,31-75,fixed_025,0.25,0.25,0.25,0.25,0.14193185961908472,0.25,5.62300218819625e-18,0.0625,1405,1405,0,0.013336038722947382
M10,31-75,fixed_1,1.0,1.0,1.0,1.0,0.14193185961908472,1.0,2.2492008752785e-17,1.0,1405,1405,0,0.06145595337187054
M10,31-75,row_snr,0.23432410519275465,0.220894220397408,0.6086960741162664,0.576817333525117,0.2151595894131688,0.5279187682699594,0.057812760768557125,0.24597927968514444,1405,0,0,0.025708460899407416
M10,31-75,row_snr_centered,,,,0.6187314947392285,0.1960052662327113,0.5799915351993221,1.2570760362813683e-17,,1405,1405,0,0.027510287598147946
M10,31-75,matched_task_scale,0.4303552581859489,0.42733357823720425,0.5155238439414577,0.576817333525117,0.14447160260839031,0.5751292916016125,1.481664134393167e-17,0.3101349220290611,1405,1405,0,0.030342782382871192
M10,31-75,task_nonterminal_snr,0.40592059115086404,0.402409726479423,0.5046303804920012,0.5510355894861683,0.1443698485168307,0.5494496933577558,1.5306569752018996e-17,0.2853953301485089,1405,1324,0,0.027713321317398107
M10,100-126,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0,0,0.0
M10,100-126,fixed_025,0.25,0.25,0.25,0.25,0.1729325717618771,0.25,1.1555788720753261e-17,0.0625,111,111,0,0.020334140362598715
M10,100-126,fixed_1,1.0,1.0,1.0,1.0,0.1729325717618771,1.0,4.6223154883013044e-17,1.0,111,111,0,0.07300209971645598
M10,100-126,row_snr,0.3857937791878165,0.3594448025324438,0.8209838414354953,0.6447891739649856,0.24284537170657478,0.5902128009293486,0.07774620533013266,0.27951704051584575,111,0,0,0.04085178512373356
M10,100-126,row_snr_centered,,,,0.6878381087603247,0.21706481796436627,0.6511519467081658,1.5364703142328805e-17,,111,111,0,0.05088184059589991
M10,100-126,matched_task_scale,0.5413488262262022,0.5338730230821569,0.6662166527282798,0.6447891739649856,0.1801675904750729,0.6390773396569712,3.406641820940651e-17,0.37903018351314344,111,111,0,0.0489841869228041
M10,100-126,task_nonterminal_snr,0.5414224272079741,0.5330137399797052,0.6809120902178546,0.6464878248199014,0.18012921056312922,0.6408068540740545,3.7229285854367695e-17,0.37644076146528527,111,111,0,0.048979552663377134
M10,100-120,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,0,0,0.0
M10,100-120,fixed_025,0.25,0.25,0.25,0.25,0.17140259481276438,0.25,1.1466335633833249e-17,0.0625,103,103,0,0.019317006280991332
M10,100-120,fixed_1,1.0,1.0,1.0,1.0,0.17140259481276438,1.0,4.5865342535332994e-17,1.0,103,103,0,0.07186924360128774
M10,100-120,row_snr,0.3802303249829449,0.35450916571784247,0.8162917263317981,0.6408176408572609,0.24155010004066205,0.5865514701897196,0.07848834821768971,0.27483411083149717,103,0,0,0.03973239800009537
M10,100-120,row_snr_centered,,,,0.6835147375348967,0.21584988236824973,0.6468978852965075,1.5320281742294035e-17,,103,103,0,0.049109101358868076
M10,100-120,matched_task_scale,0.5334461823610203,0.526097179957555,0.6584713768487332,0.6408176408572609,0.17825550826078063,0.6354541777453241,3.3289711472071165e-17,0.37437601049074865,103,103,0,0.047799483687931535
M10,100-120,task_nonterminal_snr,0.5322578322723606,0.5238717516470326,0.673534946278417,0.6426003852029,0.17836359236763774,0.6371526336717717,3.660133087489409e-17,0.37278404263085935,103,103,0,0.04755382789623822
M11,1-150,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1932,0,0,0.0
M11,1-150,fixed_025,0.25,0.25,0.25,0.25,0.47632858636371017,0.25,8.491601805398083e-18,0.0625,1932,1932,0,0.01401434682430375
M11,1-150,fixed_1,1.0,1.0,1.0,1.0,0.47632858636371017,1.0,3.396640722159233e-17,1.0,1932,1932,0,0.043867047284638416
M11,1-150,row_snr,0.3644949701966501,0.3431962240793465,0.49208738296136045,0.7159211513853485,0.5535239733465533,0.614957134436589,0.03717856830661056,0.4081677309637441,1932,0,0,0.03780887800850461
M11,1-150,row_snr_centered,,,,0.7679542378009921,0.5148518524867159,0.7133746010907337,1.1295972042730015e-17,,1932,1932,0,0.03944772519540193
M11,1-150,matched_task_scale,0.49063651572172906,0.48931293236347567,0.4987266463513354,0.7159211513853485,0.47624921422183036,0.7163301957587838,2.913374765598897e-17,0.45689756685558064,1932,1932,0,0.03915274480122712
M11,1-150,task_nonterminal_snr,0.45960050717675266,0.4581344591796315,0.46822694493953987,0.680810313474391,0.4680767918235961,0.6913694773655008,2.9726847784410665e-17,0.43722821111483334,1932,1827,0,0.039289854974027615
M11,1-30,fixed_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937,0,0,0.0
M11,1-30,fixed_025,0.25,0.25,0.25,0.25,0.44747346213124506,0.25,2.1066591207907055e-18,0.0625,937,937,0,0.000565430128436408
M11,1-30,fixed_1,1.0,1.0,1.0,1.0,0.44747346213124506,1.0,8.426636483162822e-18,1.0,937,937,0,0.00918188955669465
M11,1-30,row_snr,0.12872741057748308,0.11756679171297044,0.21891858091152525,0.5978897167326683,0.5541670636474332,0.4828129202152719,0.028716476769064588,0.28936297092758795,937,0,0,0.0033630472641653403
