run,subset,rows,history_abs,future_abs,history_future_corr,nonzero_opposite_sign_fraction,nonzero_rows,combined_flips_history_fraction,negative_future_fraction,negative_combined_fraction,zero_raw_negative_normalized_count
M10,all,2610,0.5823897257140866,0.22854310465101532,0.32576550007168387,0.4379310344827586,2610,0.0946360153256705,0.5666666666666667,0.59272030651341,46
M10,nonterminal,2482,0.5774493086033742,0.19723825418253263,0.23344101516277072,0.45769540692989524,2482,0.09669621273166801,0.5870265914585012,0.6144238517324738,46
M10,terminal,128,0.6781875012514996,0.8355637207664373,0.8087379464970266,0.0546875,128,0.0546875,0.171875,0.171875,0
M10,success_nonterminal,1404,0.7037840876640996,0.22226622724207654,0.2786167480234332,0.4565527065527066,1404,0.0933048433048433,0.6225071225071225,0.396011396011396,38
M10,failure_nonterminal,1078,0.4129093922756758,0.16464152489162392,0.3791948010989186,0.45918367346938777,1078,0.10111317254174397,0.5408163265306123,0.898886827458256,8
M10,sole_success_nonterminal,32,2.116167684639634,0.010927817659597076,,1.0,32,0.0,1.0,0.0,32
M10,invalid_action,4,1.1103496352528772,0.36630421319695194,0.9295512131067942,0.0,4,0.0,0.75,0.75,0
M11,all,691,1.4701467732972682,0.44217371529026567,0.43337713776769704,0.28076923076923077,520,0.08393632416787265,0.402315484804631,0.36903039073806077,31
M11,nonterminal,563,1.4657544741146704,0.27417719623746173,0.18782402240216425,0.3443396226415094,424,0.10301953818827708,0.4511545293072824,0.4103019538188277,31
M11,terminal,128,1.4894660267332256,1.181095904561583,0.9081362709334311,0.0,96,0.0,0.1875,0.1875,0
M11,success_nonterminal,326,1.1177829960487895,0.38476621117614196,0.4771721752736356,0.3558282208588957,326,0.17484662576687116,0.5705521472392638,0.40797546012269936,7
M11,failure_nonterminal,237,1.9443987857158402,0.12205897315725185,0.1056553613867881,0.30612244897959184,98,0.004219409282700422,0.2869198312236287,0.41350210970464135,24
M11,sole_success_nonterminal,4,8.812041759490967,0.0313786098939089,,1.0,4,0.0,1.0,0.0,4
M11,invalid_action,6,0.5765265288452307,1.2201013679493975,0.657682842468023,0.0,5,0.0,0.8333333333333334,1.0,3
