run,variant,subset,rows,raw_corr_to_m5,normalized_corr_to_m5,sign_agreement_including_zero,task_spearman_mean,rank_tasks,top_abs20_jaccard_mean,top_abs20_tasks,normalized_rmse_to_m5
M10,m5_uniform_self_inclusive,all,2610,1.0,0.9999999999999999,1.0,1.0,16,1.0,16,0.0
M10,m5_uniform_self_inclusive,nonterminal,2482,1.0,0.9999999999999999,1.0,1.0,16,1.0,16,0.0
M10,m5_uniform_self_inclusive,exact_both_nonterminal,2240,1.0,0.9999999999999999,1.0,1.0,16,1.0,16,0.0
M10,uniform_loo_no_shrink,all,2610,0.849446814774739,0.8308534041903964,0.8839080459770114,0.8572801295817123,16,0.6256631488272004,16,0.5798436736518181
M10,uniform_loo_no_shrink,nonterminal,2482,0.8042559204636797,0.777905954132521,0.8779210314262691,0.8293763541097612,16,0.6354707100968302,16,0.5786900644008265
M10,uniform_loo_no_shrink,exact_both_nonterminal,2240,0.9275682302916403,0.9217219610267572,0.9160714285714285,0.9362179911909234,16,0.8000529056540395,16,0.3318366260315879
M10,context_loo_no_shrink,all,2610,0.5693023582726344,0.5552229353036242,0.6980842911877395,0.5572800815712603,16,0.26662115476777026,16,0.9402654563649553
M10,context_loo_no_shrink,nonterminal,2482,0.5202507914887494,0.4858205672803482,0.6825141015310233,0.5033153627567892,16,0.28078183960555747,16,0.9199624699836085
M10,context_loo_no_shrink,exact_both_nonterminal,2240,0.6102600819481198,0.5636760952991097,0.7026785714285714,0.562229090121809,16,0.3171362129062656,16,0.8189737090956885
M10,context_loo_k2,all,2610,0.5563382727561108,0.5430163148887619,0.6574712643678161,0.52515438531056,16,0.2951000795968192,16,0.9530804897952899
M10,context_loo_k2,nonterminal,2482,0.4239969474166756,0.3825722256413402,0.6398066075745367,0.4527002497276722,16,0.247772040981521,16,0.9416866183509692
M10,context_loo_k2,exact_both_nonterminal,2240,0.4954632279896941,0.44246577208681953,0.6544642857142857,0.5017177640129749,16,0.21231304418196106,16,0.8502693264259352
M10,hidden_loo_k2,all,2610,0.4773731439967672,0.4614573551996138,0.6402298850574712,0.47486489119475706,16,0.283658875020421,16,1.0346400703514822
M10,hidden_loo_k2,nonterminal,2482,0.3389141363310443,0.2966176129028324,0.621676067687349,0.3972212906246375,16,0.23955150850713158,16,1.0328135644434058
M10,hidden_loo_k2,exact_both_nonterminal,2240,0.4001269534444596,0.3330872496928027,0.6348214285714285,0.4357584970354124,16,0.19868513349405326,16,0.9573218559994678
M11,m5_uniform_self_inclusive,all,691,1.0,1.0,1.0,1.0,12,1.0,12,0.0
M11,m5_uniform_self_inclusive,nonterminal,563,1.0,1.0,1.0,1.0,12,1.0,12,0.0
M11,m5_uniform_self_inclusive,exact_both_nonterminal,377,0.9999999999999998,1.0,1.0,1.0,8,1.0,8,0.0
M11,uniform_loo_no_shrink,all,691,0.4899039788060237,0.5732085727304861,0.8958031837916064,0.6517474621904383,12,0.4310255627790794,12,0.7921641971605334
M11,uniform_loo_no_shrink,nonterminal,563,0.27963217510000443,0.4584427629787293,0.872113676731794,0.5021138460791695,12,0.5118991056745121,12,0.763321903293647
M11,uniform_loo_no_shrink,exact_both_nonterminal,377,0.9447360204121771,0.976794982851896,0.9920424403183024,0.9749825041934106,8,0.97125,8,0.11813435418569837
M11,context_loo_no_shrink,all,691,0.40067382030939314,0.30412310565045386,0.6931982633863966,0.4047076526408666,12,0.30286029616524973,12,1.011516289597384
M11,context_loo_no_shrink,nonterminal,563,0.2170365515515518,0.11038818126081693,0.6234458259325044,0.1931956893297766,12,0.2273344710844711,12,1.0033438614193055
M11,context_loo_no_shrink,exact_both_nonterminal,377,0.594053750638913,0.362769603650626,0.6206896551724138,0.34634204383187317,8,0.35743052237617456,8,0.6821656496218192
M11,context_loo_k2,all,691,0.4276231943212018,0.4344982473052671,0.784370477568741,0.48817597218815756,12,0.3470263532763533,12,0.9118515132058124
M11,context_loo_k2,nonterminal,563,0.21292095243789919,0.17851355197469737,0.7353463587921847,0.24768828376993945,12,0.2734067546567547,12,0.8604976492299926
M11,context_loo_k2,exact_both_nonterminal,377,0.4423231754881394,0.3424452140444032,0.7586206896551724,0.39696899289933607,8,0.39298826173826173,8,0.5839739258912028
M11,hidden_loo_k2,all,691,0.45237376814010405,0.4020378491408434,0.788712011577424,0.4949687808800011,12,0.33281201369436664,12,0.9376571713130317
M11,hidden_loo_k2,nonterminal,563,0.26525377090604635,0.1558770739733344,0.7406749555950266,0.2486990888649601,12,0.29682192807192803,12,0.8903543702025019
M11,hidden_loo_k2,exact_both_nonterminal,377,0.4106434750506587,0.3708794324479927,0.7745358090185677,0.3960995219699678,8,0.3737574925074925,8,0.5733734336560732
