run,target,subset,variant,rows,tasks,mse,delta_mse_vs_context,delta_ci_low,delta_ci_high
M10,Y,all,context_k2,2610,16,4.408492412891657,0.0,0.0,0.0
M10,Y,all,hidden_only_k2,2610,16,4.348860584639451,-0.05963182825220577,-0.23519610245835898,0.1775431539041708
M10,Y,all,uniform_k2,2610,16,4.798719576853379,0.3902271639617216,-0.04046444815849656,0.8343533819346792
M10,Y,all,context_k4,2610,16,4.468497129517815,0.06000471662615904,-0.04498376273249401,0.15878110267789658
M10,Y,all,context_full,2610,16,4.671948205037438,0.2634557921457811,0.10305060977817687,0.43251111055955765
M10,Y,all,context_fixed05,2610,16,4.481987127042624,0.07349471415096658,-0.0902555261025879,0.23249452300922027
M10,Y,exact,context_k2,2466,16,4.382204824203724,0.0,0.0,0.0
M10,Y,exact,hidden_only_k2,2466,16,4.343239272596932,-0.03896555160679105,-0.2081430648932391,0.1947223869717933
M10,Y,exact,uniform_k2,2466,16,4.766410112366755,0.3842052881630319,-0.09257002071457923,0.863259355398016
M10,Y,exact,context_k4,2466,16,4.440653324868244,0.05844850066452012,-0.05968848751292298,0.16788104119563968
M10,Y,exact,context_full,2466,16,4.670010177618597,0.2878053534148726,0.1110113325880285,0.47708607259705743
M10,Y,exact,context_fixed05,2466,16,4.448478553719006,0.0662737295152832,-0.12361572379766625,0.2379627756695875
M10,Y,exact_revisit,context_k2,1160,13,5.8141316264577565,0.0,0.0,0.0
M10,Y,exact_revisit,hidden_only_k2,1160,13,9.494211949111989,3.6800803226542316,-0.41046306367012114,11.496492733079604
M10,Y,exact_revisit,uniform_k2,1160,13,7.394111495765362,1.5799798693076046,0.7171731701231774,2.663776832352461
M10,Y,exact_revisit,context_k4,1160,13,5.908872095828041,0.09474046937028612,-0.04415125261557442,0.2319521229779622
M10,Y,exact_revisit,context_full,1160,13,6.067380316115059,0.25324868965730235,-0.09211138252049134,0.7705345297956803
M10,Y,exact_revisit,context_fixed05,1160,13,6.181150105903015,0.36701847944525823,0.1973055084459944,0.5747225817876895
M10,Y,exact_first_visit,context_k2,1306,16,4.163704172457947,0.0,0.0,0.0
M10,Y,exact_first_visit,hidden_only_k2,1306,16,4.1387123424710985,-0.024991829986847826,-0.14334920945071944,0.10646828027775081
M10,Y,exact_first_visit,uniform_k2,1306,16,4.365823832091247,0.202119659633301,-0.24165670185707183,0.7143346368361726
M10,Y,exact_first_visit,context_k4,1306,16,4.260833137264801,0.09712896480685486,-0.048343253434091196,0.24089191380964325
M10,Y,exact_first_visit,context_full,1306,16,4.441165744286103,0.277461571828156,0.07012106248241311,0.48966961584522695
M10,Y,exact_first_visit,context_fixed05,1306,16,4.201338843869369,0.037634671411421815,-0.15592004835873907,0.2177230662997474
M10,Y,task_fallback,context_k2,144,15,9.132809060158838,0.0,0.0,0.0
M10,Y,task_fallback,hidden_only_k2,144,15,8.404531453128934,-0.7282776070299029,-1.4831656323037352,-0.140707913354128
M10,Y,task_fallback,uniform_k2,144,15,8.20502492755354,-0.9277841326052992,-3.20117380294615,0.5295472336864525
M10,Y,task_fallback,context_k4,144,15,9.132809060158838,0.0,0.0,0.0
M10,Y,task_fallback,context_full,144,15,9.132809060158838,0.0,0.0,0.0
M10,Y,task_fallback,context_fixed05,144,15,9.132809060158838,0.0,0.0,0.0
