run,level,J,rows,lambda_k,n_eff,value_mse,value_boot_sd
M10,exact,1,88,0.33333333333333337,1.0,7.765189345475934,0.8750186189334161
M10,exact,2,138,0.5,1.5520751716554164,7.548313333696148,0.9445767338678718
M10,exact,3,152,0.6,1.990443518222164,6.799841699883396,1.0185684114976037
M10,exact,4,196,0.6666666666666667,2.222676286744166,5.838676899240998,0.7491142763883586
M10,exact,5,118,0.7142857142857139,2.921235630534534,6.273147693559063,0.7156732004874342
M10,exact,6,267,0.75,3.4046269556668256,3.734357402113801,0.6665157635933486
M10,exact,7,1507,0.7777777777777778,4.315692366822145,3.60887770388254,0.5625882231058701
M10,task_fallback,,144,1.0,5.372749031563092,8.242273690526666,0.6815830961189078
M11,exact,1,34,0.33333333333333337,1.0,6.378910876442383,1.1381721538929561
M11,exact,2,17,0.5,1.5797037218495864,0.3566861849737525,0.43873172763758245
M11,exact,3,4,0.6,1.9767511984117636,0.03258192182778233,0.057391798668560534
M11,exact,4,42,0.6666666666666666,3.600272938955672,7.718415303523327,0.67210468859618
M11,exact,5,97,0.7142857142857142,3.5758165489239877,8.287750685322534,1.0574145323947266
M11,exact,6,42,0.75,4.7307287677919065,0.13748158074381317,0.4025666006816702
M11,exact,7,344,0.7777777777777778,6.109188798082119,6.801262614500158,0.2825662340384434
M11,task_fallback,,111,1.0,6.101483767526095,11.305743896746174,0.6914216690248018
